log_id,segment,action,reward,behaviour_action_one,q0,q1
L-01,1,0,1,0.18,0.310,0.610
L-02,2,1,1,0.36,0.365,0.565
L-03,3,1,0,0.64,0.420,0.520
L-04,4,0,1,0.82,0.475,0.475
L-05,1,1,0,0.18,0.310,0.610
L-06,2,0,1,0.36,0.365,0.565
L-07,3,0,1,0.64,0.420,0.520
L-08,4,1,1,0.82,0.475,0.475
L-09,1,0,1,0.18,0.310,0.610
L-10,2,1,1,0.36,0.365,0.565
L-11,3,1,0,0.64,0.420,0.520
L-12,4,0,1,0.82,0.475,0.475
L-13,1,0,0,0.18,0.310,0.610
L-14,2,1,0,0.36,0.365,0.565
L-15,3,1,1,0.64,0.420,0.520
L-16,4,0,0,0.82,0.475,0.475
L-17,1,1,1,0.18,0.310,0.610
L-18,2,0,0,0.36,0.365,0.565
L-19,3,0,0,0.64,0.420,0.520
L-20,4,1,0,0.82,0.475,0.475
L-21,1,0,0,0.18,0.310,0.610
L-22,2,1,0,0.36,0.365,0.565
L-23,3,1,1,0.64,0.420,0.520
L-24,4,0,0,0.82,0.475,0.475
